# Created from original file "Bromus Lambdas and Climate Data.csv"
# Provided by Alden Griffith and Michael Loic
# Modified by NJG 17Jul2019
# --------------------------
# Notes from original file:
# Lambda values are calculated from April seedling density values (Lambda = Nt+1 / Nt)
# 'Starting Density' = Nt
# Seedling density (and thus lambda) values are averaged across microhabitats. (Not explicitly taking cover of microhabitat into account)
# All climate data are from periods between the two seedling density censuses in April
# 'Growing Season' = Apr 15 - Jun 30 (vegetative growth)
# 'Winter' = Dec 1 - Apr 14 (seedling germination and establishment)
# "DD was calculated by summing up only positive mean daily temps (i.e. base temp of 0 C). Also included is a version ('Winter DD no snowpack') that only included days when there was no snowpack, as soil temp (and seeds within) shouldn't be affected by air temp above a snowpack."
# All data are from NOHRSC station KMMH (https://www.nohrsc.noaa.gov/interactive/html/graph.html?units=0&region=us&station=KMMH&ey=2019&em=7&ed=4&eh=11)
# 4 NA values added by NJG
# --------------------------
Plot,Fence,Snow,MHabitat,Year,Ending Year,Lambda,Starting Density,Grow Season Precip Snow,Grow Season Precip Rain,Grow Season DD all days,Grow Season Precip Total,Snow Cover,Winter Precip Snow,Winter Precip Rain,Winter DD no snowpack,Winter DD all days,Winter Precip Total,Notes
1U,F1,Upwind,Average,2005-2006,2006,3.202749482,366.9990936,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16
1P,F1,Plus,Average,2005-2006,2006,2.89405961,729.7840821,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16
1M,F1,Minus,Average,2005-2006,2006,2.413080246,722.0993886,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16
1D,F1,Downwind,Average,2005-2006,2006,1.625846132,715.080685,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16
2U,F2,Upwind,Average,2005-2006,2006,1.30406647,859.0441958,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16
2P,F2,Plus,Average,2005-2006,2006,2.006035976,877.8038095,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16
2M,F2,Minus,Average,2005-2006,2006,1.919605387,940.2546311,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16
2D,F2,Downwind,Average,2005-2006,2006,1.867754912,794.6478068,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16
3U,F3,Upwind,Average,2005-2006,2006,2.025006377,548.1760413,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16,
3P,F3,Plus,Average,2005-2006,2006,2.15765299,517.5913478,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16,
3M,F3,Minus,Average,2005-2006,2006,2.897753088,689.061786,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16,
3D,F3,Downwind,Average,2005-2006,2006,1.686666126,1019.362979,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16,
4U,F4,Upwind,Average,2005-2006,2006,NA,NA,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16,
4P,F4,Plus,Average,2005-2006,2006,NA,NA,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16,
4M,F4,Minus,Average,2005-2006,2006,NA,NA,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16,
4D,F4,Downwind,Average,2005-2006,2006,NA,NA,1.01,29.01,757.8533333,30.02,0.718518519,340.96,131.2,35.60375,63.03958333,472.16,
1U,F1,Upwind,Average,2006-2007,2007,0.072919248,1175.406157,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
1P,F1,Plus,Average,2006-2007,2007,0.097524637,2112.038636,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
1M,F1,Minus,Average,2006-2007,2007,0.086926793,1742.483771,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
1D,F1,Downwind,Average,2006-2007,2007,0.20617075,1162.611166,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
2U,F2,Upwind,Average,2006-2007,2007,0.177852371,1120.250732,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
2P,F2,Plus,Average,2006-2007,2007,0.212225108,1760.906021,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
