Dataset,Block,Dataset Block,Snow,Year,Ending Year,Lambda,Starting Density,Grow Season Precip Snow,Grow Season Precip Rain,Grow Season DD all days,Grow Season Precip Total,Snow Cover,Winter Precip Snow,Winter Precip Rain,Winter DD no snowpack,Winter DD all days,Winter Precip Total,Notes
Alden and Amy,F1,Alden and Amy F1,Downwind,2005-2006,2006,1.716427136,581.504143,1.01,29.01,757.8533333,30.02,0.725925926,340.96,131.2,35.60375,63.03958333,472.16,Lambda values are calculated from April seedling density values (Lambda = Nt+1 / Nt)
Alden and Amy,F1,Alden and Amy F1,Minus,2005-2006,2006,1.865078723,524.69823,1.01,29.01,757.8533333,30.02,0.725925926,340.96,131.2,35.60375,63.03958333,472.16,'Starting Density' = Nt
Alden and Amy,F1,Alden and Amy F1,Plus,2005-2006,2006,2.186195672,562.656065,1.01,29.01,757.8533333,30.02,0.725925926,340.96,131.2,35.60375,63.03958333,472.16,Seedling density (and thus lambda) values are averaged across microhabitats. (Not explicitly taking cover of microhabitat into account)
Alden and Amy,F1,Alden and Amy F1,Upwind,2005-2006,2006,3.237104815,303.437275,1.01,29.01,757.8533333,30.02,0.725925926,340.96,131.2,35.60375,63.03958333,472.16,All climate data are from periods between the two seedling density censuses in April
Alden and Amy,F2,Alden and Amy F2,Downwind,2005-2006,2006,1.669339797,654.777003,1.01,29.01,757.8533333,30.02,0.725925926,340.96,131.2,35.60375,63.03958333,472.16,'Growing Season' = Apr 15 - Jun 30 (vegetative growth)
Alden and Amy,F2,Alden and Amy F2,Minus,2005-2006,2006,1.835827945,538.962224,1.01,29.01,757.8533333,30.02,0.725925926,340.96,131.2,35.60375,63.03958333,472.16,'Winter' = Dec 1 - Apr 14 (seedling germination and establishment)
Alden and Amy,F2,Alden and Amy F2,Plus,2005-2006,2006,1.554922052,657.460477,1.01,29.01,757.8533333,30.02,0.725925926,340.96,131.2,35.60375,63.03958333,472.16,Snow Cover' was calculated as the fraction of days with SWE > 0.15
Alden and Amy,F2,Alden and Amy F2,Upwind,2005-2006,2006,1.474280073,656.222481,1.01,29.01,757.8533333,30.02,0.725925926,340.96,131.2,35.60375,63.03958333,472.16,"DD was calculated by summing up only positive mean daily temps (i.e. base temp of 0 C). Also included is a version ('Winter DD no snowpack') that only included days when there was no snowpack, as soil temp (and seeds within) shouldn't be affected by air temp above a snowpack."
Alden and Amy,F3,Alden and Amy F3,Downwind,2005-2006,2006,1.929636798,821.012663,1.01,29.01,757.8533333,30.02,0.725925926,340.96,131.2,35.60375,63.03958333,472.16,All data are from NOHRSC station KMMH (https://www.nohrsc.noaa.gov/interactive/html/graph.html?units=0&region=us&station=KMMH&ey=2019&em=7&ed=4&eh=11)
Alden and Amy,F3,Alden and Amy F3,Minus,2005-2006,2006,2.5807989,536.831013,1.01,29.01,757.8533333,30.02,0.725925926,340.96,131.2,35.60375,63.03958333,472.16,NA
